SquareFeet,Bedrooms,Bathrooms,Neighborhood,YearBuilt,Price
2545,5,2,Rural,2007,403485.0221
1468,4,3,Rural,1983,230886.3855
1211,2,1,Rural,2015,96757.1081
2135,4,3,Suburb,2004,317844.2337
2031,2,3,Urban,1954,182168.6446
1803,3,3,Suburb,1956,268676.2431
1476,2,2,Suburb,1996,181169.173
1873,5,2,Urban,1974,290642.3316
1459,5,3,Urban,1950,118488.7493
1252,3,2,Urban,1970,201030.8392
2549,4,1,Rural,1981,183827.0376
1751,5,1,Rural,2000,198542.805
2461,3,3,Rural,1957,165641.143
2777,5,1,Rural,1995,283000.3668
1980,3,2,Urban,1987,220234.9925
1853,5,2,Urban,1953,277802.7295
2684,3,1,Urban,1950,259949.4576
1235,5,3,Rural,2010,225773.6151
2329,4,1,Urban,2006,332601.6661
1477,2,2,Suburb,2013,121259.9932
1678,5,3,Urban,1996,282137.8137
2043,3,2,Rural,1954,170384.2189
1215,4,3,Urban,1954,52064.20921
1854,5,3,Suburb,2013,213790.4165
1134,3,3,Urban,1985,127898.3938
1904,2,2,Rural,1984,175488.4707
2152,3,3,Rural,1951,199098.881
1409,5,3,Suburb,2020,198111.2557
2445,3,1,Suburb,1964,180232.3025
2317,3,1,Rural,1958,272892.8417
2269,2,2,Suburb,1971,233228.9377
2724,5,3,Suburb,1987,244874.5691
2579,5,1,Urban,1973,251820.6981
1085,2,2,Suburb,1965,62870.77001
1555,4,3,Rural,1966,222912.8949
2865,3,2,Suburb,1977,286644.1983
2398,3,3,Suburb,1953,195237.0076
2469,3,1,Suburb,1995,295226.4431
1377,5,3,Suburb,1970,196136.3026
2413,5,1,Suburb,1954,238674.2874
2680,3,3,Suburb,2004,325986.5045
2074,5,3,Rural,1961,231021.3078
1241,2,1,Urban,2021,179630.4123
2317,2,1,Rural,1962,173297.6936
1919,5,1,Urban,2006,259608.5867
2586,3,2,Urban,2007,311419.8601
1265,3,1,Rural,2019,233865.1563
2143,3,3,Suburb,2021,229776.4035
1711,3,2,Rural,1964,183640.891
2940,5,2,Suburb,1963,329354.972
2271,4,2,Urban,1977,272622.3677
1069,4,2,Urban,2011,133767.2845
2876,3,1,Urban,1968,337952.9055
1056,3,3,Suburb,1997,102919.5499
2405,3,3,Suburb,2004,292513.5856
1038,4,2,Urban,2006,173799.5124
1800,2,2,Urban,1984,247464.1706
2466,4,1,Rural,1992,283120.8828
2041,5,3,Suburb,1991,255911.2043
2975,4,1,Urban,1970,311652.5429
1731,5,2,Urban,2016,195945.8283
1824,3,2,Rural,2014,268215.7879
1755,5,2,Rural,2009,161216.9805
1351,3,3,Suburb,1980,110136.4541
2995,2,3,Rural,1983,339499.2341
2839,3,2,Suburb,1976,226024.1999
2321,3,3,Urban,1980,270826.4348
1282,2,2,Urban,1985,127031.2797
2609,3,3,Urban,1983,252016.7737
1109,3,3,Rural,1994,202794.8971
2016,3,2,Urban,1992,227553.046
2203,4,3,Suburb,2001,151801.9936
2961,5,2,Urban,1953,262854.8373
1543,3,1,Suburb,1952,221967.1927
2769,4,3,Rural,1982,290861.9542
2817,3,1,Rural,2008,392462.0729
1024,5,2,Rural,1957,81960.52049
1842,3,2,Rural,1987,258205.6785
1790,5,3,Rural,2012,263565.8573
1737,4,3,Suburb,1963,124339.329
1056,4,3,Rural,1995,105551.2817
1179,3,2,Urban,1992,206539.3486
1231,2,3,Urban,1950,209188.4799
2917,5,1,Suburb,1997,314324.4354
1342,3,3,Rural,1980,156492.8385
1476,4,2,Rural,2019,116801.691
2822,3,1,Rural,2009,365381.3639
1575,5,1,Rural,1979,216265.2074
1454,3,3,Suburb,1966,97424.34257
2255,5,2,Suburb,2004,253890.8819
1288,4,2,Rural,1997,206496.2691
2236,2,3,Suburb,1987,235154.9916
1257,2,2,Rural,1997,171710.1826
1529,4,3,Rural,2006,162743.8588
1686,4,2,Urban,1977,198852.384
1928,3,1,Suburb,1985,232608.1122
1228,4,3,Urban,1961,168078.1707
2249,4,2,Urban,2014,241158.8363
1595,5,2,Suburb,1968,167374.0547
2826,3,3,Urban,2019,345313.2447
1434,5,1,Urban,1955,254110.3419
1881,3,2,Urban,1997,237944.1224
2020,3,3,Rural,1977,142829.1303
2781,2,1,Urban,1980,241830.2656
1401,2,2,Rural,1998,120923.7308
1621,4,2,Suburb,2021,69950.18966
2789,3,2,Rural,1960,362822.0844
1087,4,3,Rural,1956,80274.30099
1583,5,3,Rural,1969,207227.0661
2916,4,3,Urban,1968,309937.0575
2565,5,1,Suburb,1951,283392.8509
2707,2,2,Urban,1976,268909.899
1308,2,2,Urban,1974,84523.315
1905,5,1,Rural,1995,306987.6704
1342,5,1,Urban,1958,104854.5526
1435,5,3,Rural,1998,141895.1801
1176,4,2,Suburb,2005,212637.4985
1138,5,1,Suburb,1961,133592.8763
1193,3,1,Rural,2010,148193.7286
2209,5,1,Suburb,2011,278645.5762
2241,2,3,Urban,1992,315624.1955
2187,5,3,Urban,1959,264743.8026
2184,2,2,Rural,1975,188235.6392
1942,2,3,Suburb,1958,132214.0642
1524,4,2,Urban,1967,199556.5772
2831,5,3,Urban,1974,360150.5183
2624,2,3,Suburb,2010,212304.5179
2859,3,3,Urban,1963,294794.138
2065,5,1,Suburb,1976,214645.806
1914,5,3,Urban,2008,160967.2638
1209,2,2,Suburb,1985,259643.6965
1740,4,3,Rural,1966,103006.775
1861,4,1,Urban,1961,218520.4542
2298,5,1,Urban,1963,236914.8415
1953,5,2,Suburb,2019,182230.9175
2302,4,2,Rural,1959,256775.9489
2274,4,1,Urban,1992,307648.2452
2333,3,3,Suburb,2016,360945.258
2743,5,2,Rural,1957,318023.3337
1832,5,2,Suburb,1985,197719.0242
1139,5,3,Suburb,2018,117870.8976
1791,4,3,Rural,1983,150536.6715
1545,2,3,Suburb,2014,249323.0228
2844,3,1,Urban,1954,349944.0892
2016,4,1,Urban,1975,206469.5437
2927,4,3,Rural,1995,340520.9849
2553,3,2,Urban,1991,251458.2612
1056,5,2,Rural,1983,208224.9815
1111,2,1,Suburb,2000,152597.6168
1004,3,1,Rural,1987,170202.1771
2433,2,2,Urban,1971,279173.4149
2437,5,1,Urban,1977,275140.6055
2205,2,1,Rural,2004,251606.4851
2036,5,2,Urban,1961,255891.4844
2362,4,3,Rural,2010,292371.8718
2820,5,2,Urban,1993,322784.015
2282,3,1,Rural,2015,256531.4398
1089,3,3,Urban,2014,129335.7331
1615,5,3,Urban,1991,199861.1418
1890,5,2,Rural,1994,207229.5531
1697,4,3,Urban,1964,174832.5891
2273,4,3,Urban,1961,219775.134
2278,5,2,Suburb,2005,279975.6963
2611,2,3,Suburb,2007,287106.3439
1897,4,3,Suburb,1985,177450.8416
1970,3,2,Rural,1977,278488.3032
2131,4,2,Rural,2021,232871.0623
1667,4,1,Urban,1952,266157.803
1593,4,1,Urban,2003,206058.7416
1588,4,2,Suburb,1986,77815.86536
1484,5,1,Urban,2001,171685.2017
1981,4,2,Rural,1998,151626.2786
1971,2,1,Rural,1992,187165.4614
2281,4,1,Urban,2020,241112.3763
1638,4,3,Urban,1954,248237.7041
1996,3,1,Rural,2003,239113.0576
2926,4,3,Urban,1983,316429.6754
1281,3,1,Rural,1968,135572.2633
1985,3,3,Suburb,1982,169979.265
2111,5,1,Rural,2016,234055.2172
2227,3,1,Rural,1995,261503.8157
1015,3,3,Urban,1954,161588.4509
2174,2,3,Suburb,1951,290543.6077
1935,2,2,Rural,2019,248943.7608
1253,3,2,Suburb,1953,138297.5064
2211,5,3,Suburb,1969,195035.6501
1328,2,1,Urban,1950,112920.0625
1543,2,2,Rural,1983,144894.0485
1782,5,2,Suburb,1978,175752.0455
1996,4,2,Suburb,1994,134672.3973
2420,2,2,Rural,2001,223748.365
2540,3,2,Rural,1979,253734.6171
2482,3,3,Rural,2001,172663.9158
2353,3,2,Rural,1960,236305.9168
2843,5,3,Suburb,1986,297175.9844
1844,3,3,Suburb,2009,214189.4205
2192,4,1,Urban,1974,236560.573
2716,5,2,Rural,1985,363881.7966
1365,2,2,Suburb,1953,204124.6407
2201,5,1,Suburb,1972,237888.5408
1654,3,2,Rural,1955,192989.6425
2385,5,2,Rural,1977,278154.9367
1759,5,3,Urban,2013,154192.1444
1638,5,3,Suburb,2007,177920.5121
2798,5,1,Suburb,1982,260335.9674
2063,4,3,Suburb,1975,220879.9865
1923,5,2,Suburb,1974,227483.2109
1415,3,2,Urban,1979,61143.27985
2378,2,1,Rural,1985,274876.4727
1254,4,2,Rural,1969,206763.633
2166,5,1,Rural,2002,338458.6007
2775,2,2,Rural,2018,218042.3879
2763,4,1,Suburb,1981,202568.7413
2876,3,2,Urban,1991,389380.0736
1709,3,2,Rural,2014,171076.1732
1576,2,2,Rural,1963,160976.4828
1899,5,2,Suburb,2011,177673.6382
1010,2,2,Rural,1985,69458.55655
2643,4,1,Rural,1968,286287.332
1025,2,1,Suburb,2008,225122.3779
1956,2,3,Urban,2010,210885.9615
1420,5,1,Suburb,1966,193918.8411
2686,3,2,Urban,2000,239422.4129
2244,5,1,Urban,2010,246309.5097
2876,3,2,Urban,1965,318824.8054
1495,5,2,Suburb,1975,175590.8285
2260,3,3,Suburb,1950,225361.4886
1236,5,1,Rural,1978,225455.5488
2008,3,1,Suburb,1971,204922.3351
1218,3,2,Suburb,1981,133506.1549
2510,3,1,Urban,1956,283204.2844
2959,3,1,Rural,2010,291695.4232
1460,5,1,Rural,2001,219150.9303
1662,4,2,Suburb,2021,102043.5718
1634,3,1,Suburb,1962,153968.1103
2167,3,2,Suburb,2019,293074.5214
1989,3,2,Suburb,1963,236022.0863
1188,3,1,Urban,1989,87845.37766
1254,3,3,Rural,2014,111772.6987
1067,2,2,Urban,1969,135519.6252
1615,2,1,Rural,2013,79845.29929
1335,3,3,Rural,1956,170521.2199
1670,3,2,Rural,1972,218606.9806
1820,3,3,Urban,1988,199871.2655
1873,4,1,Rural,1956,231830.624
2432,5,3,Urban,1967,374652.9967
1299,3,3,Rural,1994,149938.0513
2931,4,2,Urban,1953,264775.1205
2625,4,2,Rural,1984,245219.6849
1356,3,1,Urban,2009,173877.6009
1255,5,2,Suburb,2002,140885.5545
2007,2,3,Urban,1972,212727.7397
1352,3,3,Suburb,2006,235021.1902
2755,3,1,Urban,1957,277991.2062
2544,2,2,Suburb,2019,233075.1846
1523,5,2,Suburb,1989,202809.4396
2860,2,1,Urban,2015,345234.2986
1949,3,2,Rural,1978,274307.7919
1755,3,3,Rural,2001,306255.3998
2717,4,1,Rural,1968,381003.3857
1283,2,2,Rural,2016,130397.8443
2335,4,3,Rural,1998,267256.9435
1098,4,1,Rural,1975,105127.2248
1196,4,3,Urban,2008,83878.98592
1481,4,3,Suburb,1963,247583.321
1877,2,2,Urban,2014,142263.597
2249,2,3,Suburb,1999,243479.7442
2868,2,2,Suburb,1985,316066.3601
1614,3,3,Urban,1955,255359.3601
1617,5,2,Suburb,1968,238135.5986
2388,4,2,Urban,1992,272942.5638
1367,3,1,Urban,2017,124482.132
1569,2,2,Rural,1999,34874.25772
1589,2,3,Suburb,1981,96305.22293
2098,3,1,Rural,2001,217201.251
2065,4,1,Urban,1971,271833.6483
1421,2,3,Urban,1987,122591.0505
1835,4,3,Suburb,2007,219928.2583
2204,4,1,Rural,1976,231820.8141
1544,5,1,Rural,1955,162070.1391
1070,2,2,Suburb,1961,121311.5348
2591,3,1,Urban,1998,303231.3354
2128,5,3,Urban,2011,229381.5837
2223,4,1,Suburb,1961,255482.6494
2124,3,3,Suburb,2002,245711.4018
1767,5,3,Suburb,1960,150718.3078
1306,5,2,Rural,1998,230476.0953
2609,5,2,Suburb,1997,369379.6096
2706,4,2,Urban,2019,206118.5119
1376,4,3,Suburb,1961,163699.4817
1654,2,3,Rural,1952,161027.8719
1677,5,3,Rural,2008,218445.3887
1398,3,2,Suburb,2001,258871.1523
2796,4,1,Urban,1953,323525.9547
1220,5,1,Suburb,1972,89493.70689
2618,3,2,Rural,2005,190868.0584
1181,4,2,Urban,2014,204584.3308
1306,3,3,Rural,2017,172418.7462
1521,3,3,Rural,1958,183650.5885
2419,2,3,Rural,1967,283430.0189
2013,4,1,Suburb,1966,243421.0788
1003,4,1,Rural,1968,115125.8821
1862,4,2,Suburb,1970,238852.7401
2937,4,2,Suburb,2020,309835.1436
1847,2,3,Suburb,2008,204030.8421
1803,2,1,Rural,2003,171349.3072
2304,5,1,Rural,1970,187819.9277
1214,4,2,Rural,1992,186694.7259
1971,3,1,Urban,1988,245047.0954
2633,2,3,Urban,2020,262840.7585
2443,3,1,Urban,1952,256069.848
1100,3,3,Urban,1996,66388.22722
1962,3,3,Urban,2020,219714.04
2544,5,3,Rural,1979,215713.3249
1572,5,3,Rural,1997,169742.3969
2332,4,1,Rural,1990,213199.8581
1657,2,1,Suburb,2015,169062.0737
1938,4,3,Suburb,1970,239723.0977
2954,5,2,Rural,2013,375486.3484
2533,5,2,Rural,1979,305592.445
2086,3,3,Rural,1959,161838.0868
2656,4,3,Rural,1974,404371.0871
1225,3,2,Suburb,1991,162142.2091
1104,5,1,Suburb,1968,191030.3874
2997,4,1,Rural,1986,391470.26
1771,4,2,Rural,1974,200966.9159
2884,2,3,Rural,2018,274650.3883
2448,5,3,Urban,1953,313809.2997
2278,5,1,Rural,1967,304138.8373
1428,2,1,Rural,1966,184174.5778
1433,5,3,Rural,1964,234837.3743
2230,3,1,Urban,1966,296522.1741
2051,3,2,Urban,1966,278406.8921
1681,3,2,Rural,1997,225621.4266
2359,4,1,Urban,1978,184471.3777
1587,3,3,Urban,1982,214085.6698
2651,5,2,Suburb,2013,290844.8747
2092,2,1,Rural,1984,105394.8419
1865,3,1,Suburb,1961,211252.8096
1745,3,3,Rural,1998,196425.4975
2536,4,1,Rural,2002,233912.5381
2190,5,2,Urban,1992,218847.3321
1863,2,1,Rural,1954,148168.8865
2753,5,3,Urban,2007,302998.6389
2808,3,1,Urban,1994,205654.782
1367,5,2,Suburb,1999,123970.0704
1250,2,2,Urban,1983,202337.2789
1858,3,1,Suburb,2015,231419.0709
1855,5,3,Urban,1975,167037.7117
2954,2,2,Suburb,1950,318596.2352
2709,3,3,Rural,1954,270803.6847
2193,3,3,Rural,1981,272913.5562
2781,5,2,Urban,1951,370880.2093
2958,4,1,Rural,1975,405717.858
2113,4,3,Rural,1959,218725.0675
1560,2,1,Rural,1994,171341.1405
2469,5,3,Urban,2008,266305.1876
1293,2,2,Rural,2007,162081.6525
1918,5,3,Rural,2010,226876.8577
2173,2,1,Rural,1954,192428.3663
2155,2,1,Suburb,2000,297873.7167
1432,5,3,Rural,1992,132100.3433
1058,4,3,Rural,1990,131171.1322
1968,2,3,Suburb,2013,241015.4239
1835,5,2,Urban,1964,179243.7549
1198,5,1,Urban,1990,107399.1336
1214,5,3,Suburb,2014,210070.3926
1897,3,1,Suburb,1984,255193.0788
2584,5,1,Urban,1964,384490.0986
1471,5,1,Rural,1985,213413.9986
2767,3,1,Urban,1987,248533.9613
1246,3,3,Urban,1969,77779.5587
1381,4,1,Urban,1984,84318.09663
1990,5,1,Suburb,1970,160557.3278
2262,2,2,Rural,1965,277174.149
1926,3,3,Rural,1952,247065.337
2390,3,1,Rural,1973,224431.7386
2191,4,1,Rural,1965,256668.196
1559,4,3,Urban,1985,232102.2404
2074,4,3,Rural,2014,303720.0105
2834,5,1,Rural,1973,368566.8701
2633,5,2,Rural,1998,271673.2745
2974,5,2,Rural,1983,357299.5565
2751,3,3,Suburb,2012,291313.8657
1688,4,3,Suburb,2007,185987.4743
1379,3,2,Rural,1991,183951.4729
1473,2,2,Rural,1960,169046.4553
2103,5,2,Rural,1952,180264.1289
1696,3,2,Suburb,1993,110874.983
2390,2,2,Urban,1999,255042.794
2484,3,3,Rural,1993,415280.0557
1910,2,3,Suburb,1978,197595.3796
2562,3,3,Urban,1972,227717.7295
2475,3,3,Suburb,1970,263906.1465
2487,5,1,Rural,2021,290292.4256
1959,3,2,Urban,1970,195992.8985
1477,3,2,Rural,1973,219537.3869
2003,4,3,Suburb,1961,260856.4117
1925,3,2,Suburb,1997,264914.2339
2443,5,1,Suburb,1988,216099.4597
1706,3,1,Urban,1968,221673.4263
2237,5,1,Urban,1998,263652.1125
2392,4,3,Suburb,1984,251141.0678
1853,5,2,Urban,1954,225627.7551
2137,4,1,Suburb,2019,259650.8649
2016,4,1,Suburb,2001,238599.7925
1753,4,2,Suburb,1991,288656.423
1502,4,2,Urban,1950,104450.0994
2659,4,1,Urban,1983,313186.6062
1816,5,1,Rural,2005,192165.6433
1587,4,2,Urban,2002,276316.1028
2334,4,3,Rural,2008,258404.5786
2492,4,2,Rural,2004,333190.0403
2847,4,3,Suburb,2019,260198.3901
1707,4,1,Urban,1979,223105.7293
2886,2,3,Urban,1970,294484.193
2067,3,3,Rural,1978,276563.6561
2438,3,1,Suburb,2013,259664.0917
2721,4,1,Suburb,1972,310134.1776
2878,4,3,Suburb,1974,372483.6082
2269,2,2,Suburb,1958,190919.0586
2972,4,2,Rural,1957,311691.6593
2107,2,1,Urban,2013,212155.1445
1206,3,1,Urban,1982,175451.6645
1150,5,2,Suburb,1999,242304.0698
1667,3,2,Urban,1966,187863.68
1527,5,1,Rural,2007,241358.7577
1164,5,2,Rural,1965,167267.2747
1916,5,3,Urban,1962,177611.6178
2998,4,1,Rural,2018,336755.4647
2168,2,3,Suburb,1963,267686.1989
2009,5,3,Rural,1967,210525.4938
1036,2,3,Rural,1983,182426.7463
1332,3,3,Urban,1983,175538.0848
1402,5,2,Rural,1989,112855.4465
1413,3,1,Rural,1973,142489.8799
1044,2,2,Rural,1967,123791.5768
2425,2,3,Suburb,2015,334537.5042
1205,3,3,Suburb,1966,134640.0925
1061,2,3,Urban,1950,232558.2362
1419,3,3,Suburb,1973,269162.1563
1867,2,1,Rural,1976,221183.5542
2491,4,1,Urban,1951,359431.0434
1819,3,1,Rural,1960,173468.7973
1018,5,3,Suburb,1954,144234.5938
1364,5,3,Rural,1987,107102.7188
2323,5,1,Urban,1956,293239.2594
2030,2,1,Suburb,1974,200643.5204
2784,3,1,Suburb,1963,367552.1535
1427,2,2,Urban,2006,192262.5445
2140,5,3,Urban,1979,229665.8738
1579,4,1,Urban,1988,153782.0461
2530,5,1,Rural,2006,381004.5182
1545,5,3,Suburb,1971,127180.7405
2729,5,2,Rural,2010,245025.505
1324,4,3,Rural,1982,144583.9945
1054,4,1,Rural,2002,125169.6665
1777,3,1,Suburb,1979,128188.5824
1991,4,2,Urban,1993,290507.0834
1041,3,2,Suburb,2009,142024.8837
2320,4,3,Rural,1957,410537.548
2996,3,1,Urban,1950,398560.8803
1230,5,2,Suburb,2000,92818.44328
1452,4,1,Urban,1997,203860.4611
2913,2,2,Rural,2012,282445.4473
1393,2,2,Urban,2018,118341.8965
2545,3,1,Rural,2005,241743.9546
2381,4,1,Urban,1981,233022.8726
2467,4,3,Rural,1989,236027.6572
2151,2,3,Urban,2000,199754.0365
1690,4,3,Suburb,2010,278729.9492
2428,4,1,Rural,1992,295368.8519
1391,3,2,Urban,2001,140858.1041
2216,5,3,Suburb,1955,259383.6939
1603,2,1,Urban,1965,231331.3696
1880,5,3,Suburb,1991,225682.0976
2766,4,3,Urban,1975,238905.6473
2101,4,3,Suburb,2009,282255.3145
1084,3,2,Suburb,1992,129916.1672
2053,5,1,Urban,2002,218202.4735
2748,5,2,Urban,1965,260685.3281
1048,3,3,Suburb,2002,285228.8562
2800,5,3,Rural,2016,261973.1896
2168,3,2,Suburb,1968,218365.5316
1068,3,3,Urban,1974,151081.3217
2081,4,3,Suburb,1969,221994.1333
1696,4,2,Suburb,2001,249992.8245
2597,4,1,Rural,1959,284511.9535
1478,3,3,Rural,1970,201618.1841
1819,4,3,Urban,1956,212135.7284
2468,2,1,Rural,2010,358920.5234
2319,2,2,Suburb,1982,215308.1147
2701,4,2,Urban,1950,244373.3826
2194,3,3,Urban,2003,247117.5822
2598,2,3,Urban,2003,310744.2006
1146,4,2,Rural,1992,133524.6106
2507,2,3,Suburb,1973,290230.8223
2329,2,2,Rural,2018,241584.293
2696,2,2,Suburb,2018,291461.866
2676,5,2,Urban,1975,291266.5695
2869,2,3,Urban,1965,279499.6289
2015,4,2,Suburb,1991,182062.0037
1608,2,1,Urban,2019,147267.6156
1445,4,1,Suburb,1950,145709.8681
1220,2,2,Rural,2005,207731.7529
2578,2,1,Suburb,1967,218385.7535
2968,5,2,Rural,1967,301509.4826
2827,2,3,Urban,1968,319406.9244
2401,4,3,Urban,1963,313247.6119
2643,5,3,Suburb,2007,327149.2618
2289,5,2,Suburb,1988,200861.0648
1094,2,2,Suburb,2020,176026.3147
1261,2,1,Urban,1966,175510.2484
2848,3,1,Suburb,1953,263314.9523
1896,2,3,Suburb,2017,181294.4997
2094,3,2,Rural,2003,215184.311
2977,4,1,Urban,1988,335431.93
1218,2,3,Suburb,1962,231078.2026
2556,2,2,Rural,2000,353202.6087
1091,3,1,Suburb,1987,209025.4119
1126,3,1,Urban,2013,130736.5479
1079,5,1,Suburb,2003,154004.1867
2847,5,1,Suburb,1976,317067.4813
2261,2,3,Urban,2003,238966.8931
1982,4,3,Rural,2003,192041.9835
2395,5,1,Urban,2020,365361.1489
1915,5,2,Rural,1977,218290.5845
1485,5,2,Urban,1980,108898.989
1693,3,2,Suburb,2010,180946.0396
1024,2,3,Urban,2005,129368.1006
1155,3,2,Urban,1958,153950.4291
2540,4,2,Urban,1986,290661.0358
1631,3,2,Urban,2005,145196.1787
2812,2,2,Rural,2018,391963.3212
2553,3,3,Rural,1995,270473.859
2966,4,2,Urban,1968,362359.1687
2733,2,1,Rural,2000,304559.214
2080,2,3,Urban,2014,176188.4412
2628,2,2,Suburb,1955,269381.4222
1018,2,1,Urban,1993,160440.3327
2407,4,3,Urban,1972,252631.9964
2888,2,1,Urban,2009,304018.0462
2216,4,2,Suburb,1968,257067.6531
1236,4,2,Suburb,2012,132267.0971
2410,3,2,Suburb,1963,287318.2199
2449,3,1,Rural,2020,252564.0427
1276,2,3,Suburb,1963,130579.8483
2250,5,1,Suburb,2000,313019.929
1744,5,1,Suburb,1989,231384.084
1551,2,1,Suburb,1966,120494.188
2346,4,2,Rural,2007,230529.6686
2176,3,1,Rural,1988,249694.1647
1638,2,1,Rural,1951,223359.0556
1236,2,1,Suburb,1994,93924.74856
1997,4,3,Rural,2011,272343.322
1054,3,1,Urban,1962,164452.1159
2459,5,1,Rural,1990,295893.66
1683,5,2,Rural,2005,157207.8553
1108,2,1,Rural,1970,88240.70267
2889,2,1,Suburb,1976,313101.9827
2207,2,2,Suburb,1979,273026.3731
2974,2,1,Rural,1980,332659.4152
2391,2,1,Suburb,1973,231978.2164
2221,5,3,Urban,2000,275389.2662
2394,2,3,Urban,1983,410763.6553
1372,3,1,Rural,1968,76403.27486
1972,4,3,Urban,1966,216988.2574
2520,5,1,Rural,2002,234000.6971
2622,4,3,Urban,1983,284861.8553
1200,4,1,Rural,1963,175610.362
1848,2,3,Suburb,1977,137109.8272
1508,4,1,Suburb,1960,201735.6534
2345,3,2,Suburb,1987,257075.6034
1274,2,2,Rural,1998,95042.00308
1210,5,1,Rural,2003,148006.0315
1503,3,3,Urban,1956,123251.8866
2926,5,2,Suburb,1967,314388.0697
2141,2,3,Suburb,1982,275236.208
1702,2,3,Rural,2011,125307.1163
2577,5,2,Rural,1960,275940.2755
1041,4,2,Urban,1998,206870.3925
1314,5,3,Rural,2007,167404.7779
1787,3,1,Urban,2004,237132.1739
1328,4,2,Urban,1967,147356.1556
2040,2,1,Suburb,1999,156529.6799
1282,3,1,Suburb,2008,59921.79112
1942,3,2,Rural,1964,192700.8619
1257,2,1,Urban,1953,249146.9698
1574,4,1,Urban,1987,174905.6905
1573,2,1,Urban,2013,143359.0083
1611,3,1,Urban,1995,191683.0507
2042,3,3,Suburb,1992,195871.1098
2552,3,1,Rural,2012,274687.151
1836,2,1,Urban,1987,210861.8131
1422,5,1,Rural,1955,101516.6885
2489,3,1,Rural,1979,335615.225
2396,3,3,Suburb,2018,267277.2875
1757,4,3,Rural,1960,280265.781
1762,5,3,Suburb,1962,176681.6059
2990,4,2,Urban,2009,289261.0817
2104,3,2,Rural,1966,204654.1448
2574,5,3,Urban,2004,253483.2792
2571,4,2,Urban,1957,348114.7076
1423,2,3,Suburb,1951,171716.487
1428,4,1,Suburb,1968,205976.4238
2411,5,3,Urban,2000,290493.4643
2944,4,3,Urban,2008,353298.8352
2732,5,2,Rural,1971,301719.1367
2693,5,3,Urban,1960,312652.1877
1203,4,1,Rural,1965,155799.8781
1195,4,3,Urban,1984,173888.9261
1727,2,3,Rural,1957,165283.25
1284,4,3,Suburb,1954,143791.3672
2992,5,3,Suburb,1962,353906.2264
1195,3,2,Rural,1965,187373.2381
1306,4,2,Rural,2020,248810.9534
2687,4,2,Rural,2006,272711.4843
1013,5,3,Urban,1988,111888.386
2860,3,1,Urban,1982,218325.8758
2169,2,2,Suburb,1987,264561.5306
2961,3,1,Rural,2011,344058.4916
2080,5,2,Suburb,1985,177918.8424
1722,5,1,Rural,1989,203247.2446
1779,5,3,Rural,2010,276211.7853
2233,5,3,Suburb,2012,223987.3504
1528,3,2,Rural,2016,178983.6118
1797,3,1,Rural,1995,184540.4877
1343,3,3,Rural,1997,170237.5437
2738,4,3,Suburb,1961,373080.6313
2634,5,3,Rural,1952,341700.0447
2302,4,2,Suburb,1965,181401.9472
1208,4,1,Urban,1981,194658.8124
1640,4,2,Suburb,1969,200324.8784
2358,2,1,Rural,1979,243063.7094
2311,4,2,Suburb,2009,329796.3128
1251,5,3,Suburb,1989,115552.0931
2288,4,1,Suburb,1982,276626.271
1270,5,2,Urban,1975,130007.8745
2947,2,3,Rural,1996,317794.6534
1919,3,3,Urban,1997,168265.4108
2723,5,1,Urban,2011,278799.294
1418,4,2,Urban,1965,201934.0768
2749,5,3,Urban,1978,269467.8779
1794,4,1,Rural,1980,166892.8429
2234,3,1,Suburb,2011,230570.5057
2388,5,3,Urban,2011,347656.8227
2099,4,2,Rural,1975,157983.1182
2683,5,1,Urban,1967,155383.7095
2344,3,3,Suburb,1994,240604.6415
1724,3,3,Urban,1954,114821.2328
1432,3,3,Rural,1954,177245.8378
1108,5,2,Suburb,1956,122502.2863
1640,5,2,Suburb,1958,159569.2847
2545,4,1,Suburb,2012,339236.7496
2070,3,1,Rural,2006,224286.5628
1378,4,3,Urban,2008,236480.7794
2850,5,1,Urban,1985,358096.7908
2119,2,3,Rural,2012,98511.93259
1957,3,1,Rural,1962,192832.5301
1102,4,2,Suburb,1968,56996.37931
1891,3,2,Urban,1959,222036.4513
1853,4,3,Urban,1979,251498.9332
2169,4,1,Urban,1985,280039.5108
2903,2,1,Urban,1953,275778.6316
2965,5,1,Rural,1979,382189.0312
2951,3,3,Rural,2010,275988.4547
2050,5,1,Suburb,1981,216743.843
2755,4,2,Suburb,1994,292749.3377
1529,5,1,Rural,1980,311517.2878
1678,2,2,Urban,2005,169092.73
2968,5,1,Suburb,1991,304469.975
1988,4,3,Rural,1962,244106.7563
2105,4,3,Urban,2002,195245.9585
1427,2,1,Rural,2003,181358.949
2607,3,1,Rural,1992,224589.9206
1821,2,2,Suburb,1973,123560.2001
2502,3,3,Rural,1972,271015.3734
2789,4,1,Rural,1968,351373.7402
2185,5,3,Suburb,1988,167822.7095
2862,4,3,Rural,1970,316894.6232
1931,2,1,Suburb,1996,162330.6719
2425,2,1,Rural,1959,285257.2861
2531,5,1,Rural,2008,299535.91
2061,2,1,Urban,1990,211579.2598
2978,4,2,Suburb,2012,332511.315
1510,5,1,Urban,1984,281115.149
1392,3,2,Urban,1965,234582.2028
1712,2,1,Urban,1983,139289.634
1493,3,3,Urban,1983,128384.966
2223,5,1,Suburb,1993,245962.2446
2278,2,2,Rural,1955,165272.9502
